#EFIX     param    DMEA     DynTot    2Ddyn     fricH    elseH     1Drem     PDC
0.238033 3.860478 0.397809 -0.636694 -0.620660 0.596306 -0.626651 -0.016034 0.000000
0.225685 -0.111522 0.403926 -0.629434 -0.614693 0.580692 -0.620172 -0.014741 0.000000
0.257213 1.069538 0.368495 -0.625628 -0.613152 0.566120 -0.619139 -0.012476 0.000000
0.334421 0.929829 0.281621 -0.615934 -0.607938 0.548069 -0.613461 -0.007996 -0.000000
0.139847 3.104445 0.469748 -0.609858 -0.600583 0.559044 -0.607418 -0.009275 0.000000
0.209230 2.222449 0.406938 -0.615959 -0.603301 0.572532 -0.611317 -0.012658 0.000000
0.305903 0.536175 0.304792 -0.610418 -0.594557 0.586890 -0.602708 -0.015861 -0.000000
0.364110 -2.035672 0.236019 -0.600476 -0.590176 0.571178 -0.598100 -0.010300 -0.000000
0.440743 -2.565662 0.160654 -0.601587 -0.594777 0.558356 -0.602275 -0.006810 0.000000
0.449451 -2.243447 0.151267 -0.600387 -0.593769 0.538356 -0.600070 -0.006618 0.000000
0.307336 -1.010532 0.297154 -0.604848 -0.596227 0.541641 -0.601717 -0.008621 -0.000000
0.328247 -0.012117 0.285933 -0.614289 -0.605150 0.564352 -0.610511 -0.009139 -0.000000
0.252088 1.245941 0.378515 -0.630050 -0.615574 0.589553 -0.621041 -0.014477 -0.000000
0.350937 0.944860 0.274966 -0.626215 -0.607824 0.579814 -0.613534 -0.018391 -0.000000
0.248521 -0.646562 0.377151 -0.625629 -0.613748 0.572696 -0.619735 -0.011881 -0.000000
0.334990 -0.464850 0.273531 -0.608792 -0.599626 0.540896 -0.605574 -0.009166 0.000000
0.157750 3.646079 0.459758 -0.617070 -0.608768 0.559353 -0.615160 -0.008303 -0.000000
0.161310 2.849700 0.442916 -0.603852 -0.592653 0.576832 -0.600575 -0.011200 0.000000
0.194897 0.518527 0.409746 -0.604925 -0.590811 0.588091 -0.599149 -0.014114 -0.000000
0.411700 -2.029133 0.188549 -0.600423 -0.589466 0.568319 -0.597874 -0.010957 -0.000000
0.415272 -1.810102 0.185484 -0.600845 -0.593048 0.562825 -0.600617 -0.007797 0.000000
0.472496 -3.295289 0.125730 -0.598302 -0.590877 0.534837 -0.597457 -0.007425 -0.000000
0.292140 0.154348 0.315409 -0.607325 -0.598499 0.545755 -0.604435 -0.008825 0.000000
0.212574 0.192636 0.401677 -0.614033 -0.601421 0.559012 -0.607199 -0.012612 -0.000000
0.357417 -0.181684 0.277398 -0.634810 -0.613580 0.601048 -0.619261 -0.021230 0.000000
0.331457 -0.293015 0.305801 -0.637482 -0.618732 0.586977 -0.624690 -0.018749 0.000000
0.333457 0.633494 0.290294 -0.623959 -0.612371 0.562709 -0.618091 -0.011588 -0.000000
0.256738 -0.056371 0.355936 -0.612930 -0.604097 0.551451 -0.609948 -0.008832 0.000000
0.194941 2.281929 0.415605 -0.610244 -0.599722 0.552438 -0.606294 -0.010522 -0.000000
0.133270 3.462497 0.471365 -0.604108 -0.592603 0.574949 -0.600424 -0.011505 -0.000000
0.230551 1.072781 0.385226 -0.616071 -0.598771 0.588922 -0.607160 -0.017301 0.000000
0.381307 -0.634670 0.217192 -0.598738 -0.588945 0.572729 -0.597050 -0.009792 -0.000000
0.470542 -4.486574 0.128258 -0.598789 -0.590644 0.546325 -0.598217 -0.008145 -0.000000
0.402384 -1.301168 0.205341 -0.607711 -0.600363 0.559582 -0.606823 -0.007348 -0.000000
0.331623 -2.328542 0.276699 -0.608227 -0.599624 0.533869 -0.605498 -0.008603 -0.000000
0.314883 0.634238 0.303611 -0.618450 -0.605229 0.565556 -0.611022 -0.013221 0.000000
0.280793 0.722071 0.342521 -0.623339 -0.606391 0.592596 -0.612030 -0.016949 0.000000
0.347884 -0.192375 0.271067 -0.619136 -0.604557 0.578287 -0.610259 -0.014580 0.000000
0.239727 0.283078 0.383079 -0.622486 -0.607999 0.559405 -0.613721 -0.014487 0.000000
0.293615 1.886630 0.328266 -0.621916 -0.614295 0.544798 -0.620144 -0.007622 0.000000
0.217476 1.275618 0.393033 -0.610675 -0.599654 0.558128 -0.606329 -0.011021 0.000000
0.117845 2.671957 0.485268 -0.602776 -0.589585 0.571500 -0.597380 -0.013191 -0.000000
0.249944 0.884727 0.354369 -0.604544 -0.591335 0.575594 -0.599364 -0.013209 0.000000
0.423740 -1.013911 0.176690 -0.600497 -0.589688 0.567757 -0.597603 -0.010810 -0.000000
0.442901 -2.799845 0.163640 -0.606495 -0.598428 0.550925 -0.605909 -0.008066 -0.000000
0.387915 -3.524108 0.208014 -0.596118 -0.588355 0.528749 -0.594866 -0.007763 0.000000
0.404211 -1.088952 0.203649 -0.607800 -0.600590 0.529676 -0.606171 -0.007210 -0.000000
0.261835 1.290297 0.361403 -0.623028 -0.612031 0.561333 -0.617575 -0.010997 -0.000000
0.322507 0.904951 0.303345 -0.625865 -0.608010 0.586109 -0.613638 -0.017855 0.000000
0.270993 0.335160 0.361579 -0.632469 -0.613579 0.592882 -0.619265 -0.018890 0.000000
0.309915 -0.516190 0.314759 -0.624724 -0.613043 0.570507 -0.618971 -0.011681 -0.000000
0.258664 1.652097 0.362780 -0.621652 -0.611673 0.566084 -0.617811 -0.009979 -0.000000
0.169792 1.573617 0.446791 -0.616421 -0.606304 0.565065 -0.612988 -0.010117 0.000000
0.168980 2.514309 0.441201 -0.610147 -0.598126 0.569594 -0.605858 -0.012020 -0.000000
0.254299 0.213784 0.338243 -0.592579 -0.580942 0.575310 -0.588759 -0.011637 -0.000000
0.392190 -1.318086 0.210645 -0.602744 -0.592604 0.574692 -0.600708 -0.010141 -0.000000
0.477527 -2.616633 0.123547 -0.601684 -0.592836 0.556665 -0.600227 -0.008848 0.000000
0.409564 -2.386311 0.196770 -0.605891 -0.599664 0.543187 -0.606079 -0.006226 0.000000
0.275198 -0.848153 0.328972 -0.604394 -0.595986 0.553517 -0.601741 -0.008408 -0.000000

